A&A	Astronomy and Astrophysics
A&AA	Astronomy and Astrophysics Abstracts Heidelberg
A&AC	Astronomy &amp; Astrophysics (Caucasus)
A&ARv	Astronomy and Astrophysics Review
A&AS	Astronomy and Astrophysics Supplement Series
A&AT	Astronomical and Astrophysical Transactions
A&C	Astronomy and Computing
A&G	Astronomy and Geophysics
A&R	Astronomie und Raumfahrt
AAABS	Asociacion Argentina de Astronomia La Plata Argentina Book Series
AAAN	Astronomische Abhandlungen als Erganzungshefte zu den Astronomische Nachrichten
AAAR	Arctic, Antarctic and Alpine Research
AADDR	Abhandlungen Akad. Wiss. DDR
AAGot	Abhandlungen Akad. Wiss. G&ouml;ttingen
AAHam	Astronomische Abhandlungen der Hamburger Sternwarte
AAIzN	Alma Ata Izdatel Nauka
AALST	Atti Accad. Ligure Sci. Lett.
AAM	Archive of Applied Mechanics
AAMOP	Advances in Atomic Molecular and Optical Physics
AAMS	Adv. Appl. Mech. Suppl.
AAN	AAVSO Alert Notice
AAONw	Anglo-Australian Observatory Epping Newsletter
AAOPr	Anglo-Australian Observatory Epping Preprint
AAPon	Atti Accad. Pontaniana
AAS	American Astronomical Society Meeting Abstracts
AASF	Ann. Acad. Sci. Fennicae
AASHS	AAS Hist. Ser.
AASP	Advances in Astronomy and Space Physics
AASPB	AAS Photo Bulletin
AASPP	Astrononomy and Astrophysics Series
AAST	Atti Accad. Sco. Torino I
AAVNw	AAVSO Newsletter
AAVSB	AAVSO Solar Bulletin
AAVSC	AAVSO Circular
AAVSN	AAVSO Special Notice
AAfz	Astrometriia i Astrofizika
AAnST	Advances in Astronautics Science and Technology
ABKie	Astronomische Beobachtungen auf der Sternwarte der Koeniglichen Christian-Albrechts-Universitaet zu Kiel
ABMun	Astronomische Beobachtungen angestellt auf der K. Sternwarte zu Bogenhausen bei Muenchen
ABSBe	Astronomische Beobachtungen auf der Koniglichen Sternwarte zu Berlin
ABWG	Abh. Braunschweigische Wissenschaftliche Ges.
ACCR	Advances in Climate Change Research
ACESJ	Applied Computational Electromagnetics Society Journal
ACGE	Advances in Cryogenic Engineering
ACGIS	Advances in Cartography and GIScience of the ICA
ACHA	Applied and Computational Harmonic Analysis
ACIP	Acta Cienc. Indica Phys.
ACMan	Astronomical Contributions from the University of Manchester
ACP	Atmospheric Chemistry & Physics
ACPD	Atmospheric Chemistry & Physics Discussions
ACSB	American Ceramic Society Bulletin
ACSC	American Ceramic Society Communications
ACSJ	American Ceramic Society Journal
ACSMO	Advances in Statistical Climatology, Meteorology and Oceanography
ACTAp	Automatic Control Theory Applications
ACiCh	Astronomical Circular
AD	Atomic Data
ADCBu	Astronomical Data Center Bulletin
ADIL	Astronomy Data Image Library
ADNDT	Atomic Data and Nuclear Data Tables
AE&AT	Aircraft Engineering & Aerospace Technology
